nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode  234 | Return  -358.330 | Updates  200 | Remaining time 44.48 hours
Episode  235 | Return  -131.025 | Updates  200 | Remaining time 44.47 hours
Episode  236 | Return  -116.628 | Updates  200 | Remaining time 44.47 hours
Episode  237 | Return  -123.674 | Updates  200 | Remaining time 44.48 hours
Episode  238 | Return    -4.171 | Updates  200 | Remaining time 44.49 hours
Episode  239 | Return  -121.863 | Updates  200 | Remaining time 44.49 hours
Episode  240 | Return  -122.154 | Updates  200 | Remaining time 44.49 hours
Episode  241 | Return  -117.900 | Updates  200 | Remaining time 44.49 hours
Episode  242 | Return  -125.904 | Updates  200 | Remaining time 44.49 hours
Episode  243 | Return  -125.326 | Updates  200 | Remaining time 44.48 hours
Episode  244 | Return  -131.823 | Updates  200 | Remaining time 44.48 hours
Episode  245 | Return  -335.661 | Updates  200 | Remaining time 44.48 hours
Episode  246 | Return  -131.098 | Updates  200 | Remaining time 44.47 hours
Episode  247 | Return    -5.925 | Updates  200 | Remaining time 44.47 hours
Episode  248 | Return    -7.319 | Updates  200 | Remaining time 44.47 hours
Episode  249 | Return  -237.474 | Updates  200 | Remaining time 44.46 hours
Episode  250 | Return  -116.347 | Updates  200 | Remaining time 44.48 hours
Episode  251 | Return  -123.541 | Updates  200 | Remaining time 44.47 hours
Episode  252 | Return  -236.196 | Updates  200 | Remaining time 44.47 hours
